time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,time/episodes,rollout/exploration_rate
67,,3717,54,,,0.001,,1808,0.020322244614362717,,,,,531,0.05
68,,3724,54,,,0.001,,1811,0.028975866734981537,,,,,532,0.05
68,,3731,54,,,0.001,,1815,0.012216118164360523,,,,,533,0.05
68,,3738,54,,,0.001,,1818,0.01313769817352295,,,,,534,0.05
68,,3745,54,,,0.001,,1822,0.01668258011341095,,,,,535,0.05
68,,3752,54,,,0.001,,1825,0.010594327002763748,,,,,536,0.05
68,,3759,54,,,0.001,,1829,0.012623988091945648,,,,,537,0.05
68,,3766,54,,,0.001,,1832,0.01576473005115986,,,,,538,0.05
69,,3773,54,,,0.001,,1836,0.010492515750229359,,,,,539,0.05
69,,3780,54,,,0.001,,1839,0.012627922929823399,,,,,540,0.05
69,,3787,54,,,0.001,,1843,0.025879448279738426,,,,,541,0.05
69,,3794,54,,,0.001,,1846,0.0058265249244868755,,,,,542,0.05
69,,3801,54,,,0.001,,1850,0.013621500693261623,,,,,543,0.05
69,,3808,54,,,0.001,,1853,0.013883594423532486,,,,,544,0.05
69,,3815,54,,,0.001,,1857,0.02107180468738079,,,,,545,0.05
69,,3822,54,,,0.001,,1860,0.016744082793593407,,,,,546,0.05
69,,3829,54,,,0.001,,1864,0.019901622086763382,,,,,547,0.05
70,,3836,54,,,0.001,,1867,0.011017518118023872,,,,,548,0.05
70,,3843,54,,,0.001,,1871,0.02919262833893299,,,,,549,0.05
70,,3850,54,,,0.001,,1874,0.01886669546365738,,,,,550,0.05
70,,3857,54,,,0.001,,1878,0.006362594198435545,,,,,551,0.05
70,,3864,54,,,0.001,,1881,0.005998978391289711,,,,,552,0.05
70,,3871,54,,,0.001,,1885,0.010186525993049145,,,,,553,0.05
70,,3878,54,,,0.001,,1888,0.01562608778476715,,,,,554,0.05
70,,3885,54,,,0.001,,1892,0.011306198313832283,,,,,555,0.05
70,,3892,55,,,0.001,,1895,0.0339997373521328,,,,,556,0.05
70,,3899,55,,,0.001,,1899,0.027322493493556976,,,,,557,0.05
70,,3906,55,,,0.001,,1902,0.016803357750177383,,,,,558,0.05
70,,3913,55,,,0.001,,1906,0.01959795318543911,,,,,559,0.05
71,,3920,55,,,0.001,,1909,0.028183134272694588,,,,,560,0.05
71,,3927,55,,,0.001,,1913,0.005226280074566603,,,,,561,0.05
71,,3934,55,,,0.001,,1916,0.011470816098153591,,,,,562,0.05
71,,3941,55,,,0.001,,1920,0.01743723265826702,,,,,563,0.05
71,,3948,54,,,0.001,,1923,0.016086740419268608,,,,,564,0.05
72,,3955,54,,,0.001,,1927,0.01418065931648016,,,,,565,0.05
72,,3962,54,,,0.001,,1930,0.023855896666646004,,,,,566,0.05
72,,3969,54,,,0.001,,1934,0.03351040929555893,,,,,567,0.05
72,,3976,54,,,0.001,,1937,0.02047569677233696,,,,,568,0.05
72,,3983,54,,,0.001,,1941,0.017294062301516533,,,,,569,0.05
73,,3990,54,,,0.001,,1944,0.025795994326472282,,,,,570,0.05
73,,3997,54,,,0.001,,1948,0.00828104093670845,,,,,571,0.05
73,,4004,54,,,0.001,,1951,0.018546147271990776,,,,,572,0.05
73,,4011,54,,,0.001,,1955,0.015058167278766632,,,,,573,0.05
74,,4018,54,,,0.001,,1958,0.021532732993364334,,,,,574,0.05
74,,4025,54,,,0.001,,1962,0.0081161018460989,,,,,575,0.05
74,,4032,54,,,0.001,,1965,0.026347195729613304,,,,,576,0.05
74,,4039,54,,,0.001,,1969,0.017689738422632217,,,,,577,0.05
74,,4046,54,,,0.001,,1972,0.005117772147059441,,,,,578,0.05
74,,4053,54,,,0.001,,1976,0.026477769017219543,,,,,579,0.05
75,,4060,53,,,0.001,,1979,0.007717969827353954,,,,,580,0.05
75,,4067,53,,,0.001,,1983,0.021872323006391525,,,,,581,0.05
76,,4074,53,,,0.001,,1986,0.011746581643819809,,,,,582,0.05
76,,4081,53,,,0.001,,1990,0.022728776559233665,,,,,583,0.05
76,,4088,53,,,0.001,,1993,0.011762615293264389,,,,,584,0.05
76,,4095,53,,,0.001,,1997,0.011858846992254257,,,,,585,0.05
76,,4102,53,,,0.001,,2000,0.009882946498692036,,,,,586,0.05
76,,4109,53,,,0.001,,2004,0.004302402026951313,,,,,587,0.05
76,,4116,53,,,0.001,,2007,0.019353171810507774,,,,,588,0.05
