time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_loss
21760,37,580,85,84,-0.10494031012058258,0.001,0.00011527538299560547,63.071067810058594,0.4302668869495392
22016,37,580,86,85,-0.13458864390850067,0.001,-5.245208740234375e-06,57.12264633178711,0.03432087600231171
22272,38,580,87,86,-0.09941107034683228,0.001,-3.600120544433594e-05,48.99260330200195,0.25347912311553955
22528,38,581,88,87,-0.09054375439882278,0.001,4.220008850097656e-05,43.58990478515625,0.28250595927238464
22784,39,581,89,88,-0.09335969388484955,0.001,5.6624412536621094e-05,64.5679931640625,0.7304400205612183
23040,39,581,90,89,-0.11483961343765259,0.001,-9.775161743164062e-06,60.78542709350586,1.699021816253662
23296,39,582,91,90,-0.08732850104570389,0.001,2.3245811462402344e-06,55.15306091308594,-2.110356092453003
23552,40,582,92,91,-0.0688595101237297,0.001,0.0001137852668762207,23.994667053222656,-0.15131014585494995
23808,40,580,93,92,-0.06775148212909698,0.001,2.7477741241455078e-05,33.38706588745117,1.4367198944091797
24064,41,578,94,93,-0.06502677500247955,0.001,0.0001055598258972168,60.573326110839844,0.17574185132980347
24320,42,578,95,94,-0.06501903384923935,0.001,7.724761962890625e-05,34.53514862060547,1.6342825889587402
24576,42,579,96,95,-0.07115183770656586,0.001,-2.0742416381835938e-05,27.353530883789062,0.12046731263399124
24832,42,580,97,96,-0.09813231974840164,0.001,0.0001341700553894043,13.377032279968262,-0.4588695168495178
25088,43,578,98,97,-0.053600504994392395,0.001,-1.1682510375976562e-05,23.731700897216797,0.26288923621177673
25344,43,579,99,98,-0.05356839299201965,0.001,9.071826934814453e-05,47.007144927978516,0.5413074493408203
25600,44,580,100,99,-0.06368362903594971,0.001,9.298324584960938e-05,51.30792236328125,-5.830475330352783
25856,44,579,101,100,-0.037828415632247925,0.001,1.9609928131103516e-05,45.29605484008789,0.050995953381061554
26112,45,575,102,101,-0.061932072043418884,0.001,1.6689300537109375e-06,43.71609878540039,1.3521554470062256
26368,45,575,103,102,-0.03984207659959793,0.001,-4.863739013671875e-05,23.919307708740234,0.04347626864910126
26624,46,572,104,103,-0.04586421698331833,0.001,0.00016766786575317383,28.681909561157227,-1.772833228111267
26880,46,572,105,104,-0.029838938266038895,0.001,-1.6689300537109375e-06,82.55620574951172,0.46955570578575134
27136,47,568,106,105,-0.02710067853331566,0.001,-0.0001461505889892578,112.37454223632812,0.9498484134674072
27392,48,567,107,106,-0.036532796919345856,0.001,0.00014412403106689453,97.48672485351562,0.5130454897880554
27648,48,565,108,107,-0.040759000927209854,0.001,-2.574920654296875e-05,65.99907684326172,1.4495309591293335
27904,49,565,109,108,-0.04618049040436745,0.001,0.00010657310485839844,27.478431701660156,-0.42851555347442627
28160,49,567,110,109,-0.05529820919036865,0.001,0.00022178888320922852,21.617347717285156,-2.8822124004364014
28416,49,570,111,110,-0.02552739530801773,0.001,0.0001525282859802246,73.4344711303711,0.30058902502059937
28672,50,572,112,111,-0.025861142203211784,0.001,-0.0001850128173828125,90.83717346191406,0.5250741243362427
28928,50,573,113,112,-0.022134460508823395,0.001,7.677078247070312e-05,75.81893157958984,0.04809923097491264
29184,50,575,114,113,-0.02164596877992153,0.001,3.695487976074219e-05,82.3577651977539,0.007529295980930328
29440,50,577,115,114,-0.028438448905944824,0.001,0.00016266107559204102,101.67375183105469,0.15513324737548828
29696,51,579,116,115,-0.023975852876901627,0.001,7.843971252441406e-05,64.11991882324219,1.501867413520813
29952,51,581,117,116,-0.041768841445446014,0.001,7.152557373046875e-05,24.97283935546875,-0.77117520570755
30208,52,580,118,117,-0.02708359807729721,0.001,-5.1140785217285156e-05,68.22111511230469,0.2188754677772522
30464,52,582,119,118,-0.016604013741016388,0.001,-2.0623207092285156e-05,62.51321029663086,-0.3863084018230438
30720,52,584,120,119,-0.027643004432320595,0.001,0.00010877847671508789,53.37761688232422,0.4307710528373718
30976,52,585,121,120,-0.022716179490089417,0.001,1.2993812561035156e-05,38.70134735107422,0.25333237648010254
31232,53,586,122,121,-0.02465646341443062,0.001,-5.9604644775390625e-05,70.59339904785156,0.14134865999221802
31488,53,587,123,122,-0.03474879264831543,0.001,6.794929504394531e-05,14.795621871948242,-0.4971320331096649
31744,53,589,124,123,-0.020637143403291702,0.001,2.3603439331054688e-05,45.3978157043457,-2.640780448913574
32000,54,591,125,124,-0.020068561658263206,0.001,7.778406143188477e-05,28.072898864746094,0.02014937251806259
32256,54,593,126,125,-0.015558013692498207,0.001,0.00014001131057739258,39.28096389770508,0.4486123025417328
