time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
123,2387,19,341,0.05,0.001,0.01649787835776806,1143
123,2394,19,342,0.05,0.001,0.02518118917942047,1146
123,2401,19,343,0.05,0.001,0.031590670347213745,1150
123,2408,19,344,0.05,0.001,0.05138238146901131,1153
123,2415,19,345,0.05,0.001,0.021220305934548378,1157
123,2422,19,346,0.05,0.001,0.017722269520163536,1160
123,2429,19,347,0.05,0.001,0.02204543724656105,1164
123,2436,19,348,0.05,0.001,0.015417187474668026,1167
123,2443,19,349,0.05,0.001,0.013264440931379795,1171
123,2450,19,350,0.05,0.001,0.017353149130940437,1174
123,2457,19,351,0.05,0.001,0.02170543745160103,1178
123,2464,19,352,0.05,0.001,0.015694325789809227,1181
124,2471,19,353,0.05,0.001,0.03825261816382408,1185
124,2478,19,354,0.05,0.001,0.020769158378243446,1188
124,2485,20,355,0.05,0.001,0.006152302958071232,1192
124,2492,20,356,0.05,0.001,0.019080383703112602,1195
124,2499,20,357,0.05,0.001,0.016364404931664467,1199
124,2506,20,358,0.05,0.001,0.035583142191171646,1202
124,2513,20,359,0.05,0.001,0.020555537194013596,1206
124,2520,20,360,0.05,0.001,0.015017985366284847,1209
124,2527,20,361,0.05,0.001,0.02112537994980812,1213
124,2534,20,362,0.05,0.001,0.03867200389504433,1216
124,2541,20,363,0.05,0.001,0.03247170150279999,1220
124,2548,20,364,0.05,0.001,0.023661736398935318,1223
124,2555,20,365,0.05,0.001,0.029348302632570267,1227
124,2562,20,366,0.05,0.001,0.020731505006551743,1230
124,2569,20,367,0.05,0.001,0.015764091163873672,1234
124,2576,20,368,0.05,0.001,0.012008876539766788,1237
124,2583,20,369,0.05,0.001,0.023270366713404655,1241
124,2590,20,370,0.05,0.001,0.034651320427656174,1244
124,2597,20,371,0.05,0.001,0.02401905693113804,1248
124,2604,20,372,0.05,0.001,0.012181689031422138,1251
124,2611,20,373,0.05,0.001,0.02507486566901207,1255
124,2618,20,374,0.05,0.001,0.012082958593964577,1258
124,2625,21,375,0.05,0.001,0.026440490037202835,1262
124,2632,21,376,0.05,0.001,0.023437604308128357,1265
124,2639,21,377,0.05,0.001,0.024688879027962685,1269
124,2646,21,378,0.05,0.001,0.021074796095490456,1272
